text,sentiment
Couldn't ask for better 👌,positive
I'm so excited about this! 😍,positive
I love this product! 😊,positive
Amazing service! 👏,positive
Feeling pretty neutral about this 🤷‍♂️,neutral
Feeling pretty neutral about this 🤷‍♂️,neutral
Not what I expected... 😒,negative
I'm so excited about this! 😍,positive
Why did I even try? 😠,negative
Terrible design 😒,negative
The movie was just okay 🤔,neutral
A day to remember 🎉,positive
Couldn't be happier 😊,positive
This is terrible 😡,negative
I love this product! 😊,positive
The movie was just okay 🤔,neutral
"Ugh, horrible experience. 😠",negative
Feeling pretty neutral about this 🤷‍♂️,neutral
Love the quality! 🌟,positive
Forgettable experience 🤷‍♀️,neutral
I love this product! 😊,positive
Terrible design 😒,negative
"Ugh, horrible experience. 😠",negative
Couldn't ask for better 👌,positive
Terrible design 😒,negative
Couldn't be happier 😊,positive
Feeling pretty neutral about this 🤷‍♂️,neutral
This was awful 😡,negative
A day to remember 🎉,positive
Amazing service! 👏,positive
I love this product! 😊,positive
This is the best day ever! 🎉,positive
Couldn't be happier 😊,positive
Absolutely fantastic! 🎊,positive
Amazing service! 👏,positive
Not what I expected... 😒,negative
"Ugh, horrible experience. 😠",negative
Absolutely fantastic! 🎊,positive
I'm so excited about this! 😍,positive
The movie was just okay 🤔,neutral
So disappointed 😞,negative
I'm so excited about this! 😍,positive
"Meh, it's alright 🤷",neutral
"Meh, it's alright 🤷",neutral
Forgettable experience 🤷‍♀️,neutral
Amazing service! 👏,positive
This is terrible 😡,negative
This was awful 😡,negative
Terrible design 😒,negative
I'm so excited about this! 😍,positive
So disappointed 😞,negative
The movie was just okay 🤔,neutral
Terrible design 😒,negative
I hate it here 😤,negative
Couldn't ask for better 👌,positive
Forgettable experience 🤷‍♀️,neutral
"Meh, it's alright 🤷",neutral
A day to remember 🎉,positive
"Ugh, horrible experience. 😠",negative
The movie was just okay 🤔,neutral
This is terrible 😡,negative
Why did I even try? 😠,negative
Feeling pretty neutral about this 🤷‍♂️,neutral
I hate it here 😤,negative
The movie was just okay 🤔,neutral
Feeling pretty neutral about this 🤷‍♂️,neutral
I'm so excited about this! 😍,positive
So disappointed 😞,negative
Amazing service! 👏,positive
This was awful 😡,negative
Couldn't ask for better 👌,positive
"Meh, it's alright 🤷",neutral
This is the best day ever! 🎉,positive
"Meh, it's alright 🤷",neutral
"Meh, it's alright 🤷",neutral
"Ugh, horrible experience. 😠",negative
Why did I even try? 😠,negative
Amazing service! 👏,positive
Why did I even try? 😠,negative
Couldn't ask for better 👌,positive
The movie was just okay 🤔,neutral
Forgettable experience 🤷‍♀️,neutral
Couldn't ask for better 👌,positive
This is the best day ever! 🎉,positive
Terrible design 😒,negative
Feeling pretty neutral about this 🤷‍♂️,neutral
This is the best day ever! 🎉,positive
This was awful 😡,negative
So disappointed 😞,negative
Amazing service! 👏,positive
Couldn't ask for better 👌,positive
Terrible design 😒,negative
Feeling pretty neutral about this 🤷‍♂️,neutral
Why did I even try? 😠,negative
Absolutely fantastic! 🎊,positive
This is terrible 😡,negative
Feeling pretty neutral about this 🤷‍♂️,neutral
This is terrible 😡,negative
Absolutely fantastic! 🎊,positive
So disappointed 😞,negative
Amazing service! 👏,positive
The movie was just okay 🤔,neutral
"Ugh, horrible experience. 😠",negative
A day to remember 🎉,positive
Absolutely fantastic! 🎊,positive
"Ugh, horrible experience. 😠",negative
Couldn't ask for better 👌,positive
It's just fine 🤔,neutral
So disappointed 😞,negative
Couldn't ask for better 👌,positive
This was awful 😡,negative
Not what I expected... 😒,negative
Amazing service! 👏,positive
Not what I expected... 😒,negative
Feeling pretty neutral about this 🤷‍♂️,neutral
Terrible design 😒,negative
Terrible design 😒,negative
Amazing service! 👏,positive
A day to remember 🎉,positive
Couldn't be happier 😊,positive
A day to remember 🎉,positive
So disappointed 😞,negative
"Meh, it's alright 🤷",neutral
Feeling pretty neutral about this 🤷‍♂️,neutral
Not what I expected... 😒,negative
Love the quality! 🌟,positive
It's just fine 🤔,neutral
The movie was just okay 🤔,neutral
This is terrible 😡,negative
I'm so excited about this! 😍,positive
Not what I expected... 😒,negative
Couldn't ask for better 👌,positive
This is the best day ever! 🎉,positive
Why did I even try? 😠,negative
Couldn't be happier 😊,positive
Forgettable experience 🤷‍♀️,neutral
The movie was just okay 🤔,neutral
So disappointed 😞,negative
So disappointed 😞,negative
Forgettable experience 🤷‍♀️,neutral
This was awful 😡,negative
Love the quality! 🌟,positive
Amazing service! 👏,positive
Terrible design 😒,negative
I love this product! 😊,positive
Why did I even try? 😠,negative
I'm so excited about this! 😍,positive
Why did I even try? 😠,negative
Terrible design 😒,negative
Amazing service! 👏,positive
Couldn't ask for better 👌,positive
Absolutely fantastic! 🎊,positive
I'm so excited about this! 😍,positive
I hate it here 😤,negative
Couldn't be happier 😊,positive
This is the best day ever! 🎉,positive
This was awful 😡,negative
I love this product! 😊,positive
Amazing service! 👏,positive
Love the quality! 🌟,positive
This is the best day ever! 🎉,positive
Love the quality! 🌟,positive
I'm so excited about this! 😍,positive
Couldn't ask for better 👌,positive
I hate it here 😤,negative
Couldn't ask for better 👌,positive
Love the quality! 🌟,positive
Forgettable experience 🤷‍♀️,neutral
"Ugh, horrible experience. 😠",negative
Not what I expected... 😒,negative
"Meh, it's alright 🤷",neutral
This is the best day ever! 🎉,positive
Terrible design 😒,negative
Love the quality! 🌟,positive
I love this product! 😊,positive
Forgettable experience 🤷‍♀️,neutral
Absolutely fantastic! 🎊,positive
It's just fine 🤔,neutral
I love this product! 😊,positive
I'm so excited about this! 😍,positive
"Meh, it's alright 🤷",neutral
I hate it here 😤,negative
Feeling pretty neutral about this 🤷‍♂️,neutral
This is terrible 😡,negative
Feeling pretty neutral about this 🤷‍♂️,neutral
A day to remember 🎉,positive
The movie was just okay 🤔,neutral
The movie was just okay 🤔,neutral
It's just fine 🤔,neutral
The movie was just okay 🤔,neutral
Terrible design 😒,negative
Not what I expected... 😒,negative
Not what I expected... 😒,negative
Why did I even try? 😠,negative
It's just fine 🤔,neutral
Terrible design 😒,negative
This is the best day ever! 🎉,positive
Amazing service! 👏,positive
Love the quality! 🌟,positive
Forgettable experience 🤷‍♀️,neutral
Couldn't be happier 😊,positive
"Ugh, horrible experience. 😠",negative
Terrible design 😒,negative
"Ugh, horrible experience. 😠",negative
I hate it here 😤,negative
So disappointed 😞,negative
Why did I even try? 😠,negative
Couldn't ask for better 👌,positive
"Meh, it's alright 🤷",neutral
This was awful 😡,negative
Love the quality! 🌟,positive
This was awful 😡,negative
I'm so excited about this! 😍,positive
Feeling pretty neutral about this 🤷‍♂️,neutral
Feeling pretty neutral about this 🤷‍♂️,neutral
The movie was just okay 🤔,neutral
Absolutely fantastic! 🎊,positive
I love this product! 😊,positive
A day to remember 🎉,positive
Terrible design 😒,negative
Feeling pretty neutral about this 🤷‍♂️,neutral
A day to remember 🎉,positive
Feeling pretty neutral about this 🤷‍♂️,neutral
I love this product! 😊,positive
The movie was just okay 🤔,neutral
Couldn't ask for better 👌,positive
This is terrible 😡,negative
Feeling pretty neutral about this 🤷‍♂️,neutral
The movie was just okay 🤔,neutral
This is terrible 😡,negative
Absolutely fantastic! 🎊,positive
The movie was just okay 🤔,neutral
Love the quality! 🌟,positive
Feeling pretty neutral about this 🤷‍♂️,neutral
Amazing service! 👏,positive
Why did I even try? 😠,negative
It's just fine 🤔,neutral
"Ugh, horrible experience. 😠",negative
Terrible design 😒,negative
Not what I expected... 😒,negative
A day to remember 🎉,positive
A day to remember 🎉,positive
It's just fine 🤔,neutral
Feeling pretty neutral about this 🤷‍♂️,neutral
It's just fine 🤔,neutral
Couldn't be happier 😊,positive
